ACCION;BIEN;ESPACIO;CATEGORIZACION DEL BIEN ;CATEGORIZACION DEL  ESPACIO;TIPO DE ACCION;METODOLOGIA // VERIFICAR;FRECUENCIA S/PLIEGO;FRECUENCIA REQUERIDA;DURACION ESTIMADA;QTY. RECURSOS
Limpieza;Ascensores;;;;Profunda;Respetar procedimiento de coordinacion con area de mantenimiento, limpieza profunda de paredes y revestimiento de acero inoxidable;semanal;;;
Limpieza;Obras de Arte;;Esculturas;;Basica;Avisar a CTO, desempolvar con plumero suave;diaria;;;
Limpieza;Obras de Arte;;Pinturas;;Basica;Avisar a CTO, desempolvar solo marcos de cuadros con plumero suave sin tocar la tela;diaria;;;
Limpieza;Obras de Arte;;Objetos especiales;;Profunda;Tratamiento a determinar con CTO, quedando expresamente exceptuado cualquier tipo de restauracion o renovacion;mensual;;;
Limpieza;;Oficinas;;;Profunda;Tratamiento de pisos, paredes interiores, ductos de ventilacion, superficies vidriadas, escritorios y equipamiento general;??? Pliego no espcifica;;;
Limpieza;;Oficinas;;Oficinas de funcionarios;Basica;Repaso diario de mediodia, retiro de residuos de cestos, repaso de cajoneras, escritorios;diaria;;;
Limpieza;Placas de Identificacion;;Placas de Identificacion;;Basica;Desempolvado, quitado de manchas;diaria;;;
Limpieza;Letreros;;Letreros;;Basica;Desempolvado, quitado de manchas;diaria;;;
Limpieza;Picaportes;;Picaportes;;Basica;Desempolvado, quitado de manchas;diaria;;;
Limpieza;Matafuegos;;Matafuegos;;Basica;Desempolvado, quitado de manchas;diaria;;;
Limpieza;Placas de Identificacion;;Placas de Identificacion;;Profunda;Desempolvado, quitado de manchas, retiro de todo tipo de adhesivos;revisar (pliego dice diaria quizas sea semanal);;;
Limpieza;Letreros;;Letreros;;Profunda;Desempolvado, quitado de manchas, retiro de todo tipo de adhesivos;revisar (pliego dice diaria quizas sea semanal);;;
Limpieza;Picaportes;;Picaportes;;Profunda;Desempolvado, quitado de manchas, retiro de todo tipo de adhesivos;revisar (pliego dice diaria quizas sea semanal);;;
Limpieza;Matafuegos;;Matafuegos;;Profunda;Desempolvado, quitado de manchas, retiro de todo tipo de adhesivos;revisar (pliego dice diaria quizas sea semanal);;;
Limpieza;Ceniceros;;Ceniceros;;Basica;Vaciado, limpieza interior y exterior, desinfectar y desodorizar;diaria;;;
